Year,Min age,Max age,Sex,Chip Time (min)
16,18,24,F,216
16,45,49,M,216
16,60,64,M,216
16,45,49,M,216
16,30,34,M,216
16,18,24,M,216
16,45,49,F,216
16,35,39,F,216
16,35,39,M,216
16,45,49,M,216
16,45,49,M,216
16,35,39,M,216
16,25,29,M,216
16,25,29,F,216
16,60,64,M,216
16,40,44,F,216
16,45,49,M,216
16,35,39,M,216
16,25,29,M,216
16,35,39,M,216
16,40,44,M,216
16,18,24,M,216
16,25,29,M,217
16,55,59,M,217
16,45,49,M,217
16,35,39,M,217
16,45,49,M,217
16,30,34,M,217
16,45,49,M,217
16,45,49,M,217
16,55,59,M,217
16,30,34,M,217
16,18,24,M,217
16,40,44,F,217
16,45,49,M,217
16,25,29,F,217
16,40,44,M,217
16,25,29,F,217
16,40,44,M,217
16,25,29,F,217
16,55,59,M,217
16,18,24,F,217
16,40,44,M,217
16,50,54,M,217
16,25,29,M,217
16,35,39,M,217
16,45,49,M,217
16,25,29,M,217
16,45,49,M,217
16,40,44,F,217
16,45,49,M,217
16,55,59,M,217
16,25,29,M,217
16,35,39,M,217
16,30,34,F,217
16,30,34,M,218
16,45,49,M,218
16,40,44,M,218
16,40,44,F,218
16,40,44,M,218
16,40,44,M,218
16,45,49,M,218
16,25,29,M,218
16,25,29,M,218
16,30,34,F,218
16,50,54,M,218
16,50,54,M,218
16,35,39,M,218
16,45,49,M,218
16,45,49,M,218
16,30,34,M,218
16,45,49,M,218
16,30,34,M,218
16,40,44,F,218
16,30,34,F,218
16,35,39,M,218
16,45,49,M,218
16,50,54,F,218
16,30,34,F,218
16,40,44,M,218
16,18,24,F,218
16,45,49,M,218
16,25,29,M,218
16,25,29,F,219
16,35,39,F,219
16,40,44,M,219
16,25,29,F,219
16,45,49,M,219
16,40,44,M,219
16,25,29,M,219
16,25,29,M,219
16,25,29,F,219
16,18,24,M,219
16,25,29,M,219
16,40,44,F,219
16,25,29,F,219
16,25,29,M,219
16,35,39,M,219
16,45,49,M,219
16,45,49,M,219
16,40,44,F,219
16,18,24,M,219
16,40,44,M,219
16,35,39,F,219
16,30,34,M,219
16,40,44,F,219
16,40,44,M,219
16,35,39,M,219
16,35,39,M,219
16,45,49,F,219
16,30,34,F,219
16,55,59,M,220
16,60,64,M,220
16,35,39,F,220
16,35,39,F,220
16,50,54,M,220
16,45,49,M,220
16,60,64,M,220
16,40,44,M,220
16,45,49,F,220
16,18,24,M,220
16,45,49,M,220
16,35,39,F,220
16,45,49,M,220
16,45,49,M,220
16,45,49,M,220
16,55,59,M,220
16,30,34,M,220
16,40,44,M,220
16,45,49,M,220
16,25,29,M,220
16,30,34,M,220
16,30,34,M,220
16,35,39,F,220
16,60,64,M,221
16,25,29,M,221
16,18,24,M,221
16,40,44,M,221
16,40,44,F,221
16,45,49,M,221
16,55,59,M,221
16,30,34,M,221
16,30,34,M,221
16,50,54,M,221
16,50,54,F,221
16,25,29,M,221
16,18,24,F,221
16,50,54,M,221
16,45,49,M,221
16,35,39,F,221
16,30,34,M,221
16,30,34,M,221
16,50,54,M,221
16,40,44,F,221
16,18,24,F,222
16,55,59,M,222
16,45,49,M,222
16,25,29,F,222
16,50,54,F,222
16,35,39,M,222
16,40,44,M,222
16,40,44,M,222
16,40,44,M,222
16,50,54,M,222
16,25,29,F,222
16,45,49,M,222
16,35,39,M,222
16,50,54,M,222
16,35,39,M,222
16,45,49,M,222
16,30,34,F,222
16,25,29,M,222
16,55,59,M,222
16,40,44,M,222
16,35,39,M,222
16,30,34,M,222
16,65,69,M,222
16,25,29,M,223
16,30,34,F,223
16,40,44,M,223
16,35,39,M,223
16,30,34,F,223
16,35,39,F,223
16,25,29,F,223
16,50,54,M,223
16,25,29,M,223
16,45,49,F,223
16,40,44,M,223
16,50,54,M,223
16,25,29,M,223
16,40,44,M,223
16,45,49,M,223
16,60,64,M,224
16,45,49,M,224
16,40,44,M,224
16,50,54,M,224
16,25,29,M,224
16,50,54,M,224
16,40,44,M,224
16,45,49,M,224
16,50,54,M,224
16,25,29,M,224
16,30,34,M,224
16,45,49,M,224
16,60,64,M,224
16,45,49,M,224
16,35,39,F,224
16,30,34,F,224
16,35,39,M,224
16,45,49,M,224
16,55,59,F,224
16,55,59,F,224
16,25,29,M,224
16,25,29,M,224
16,55,59,M,224
16,30,34,M,224
16,25,29,M,225
16,40,44,M,225
16,40,44,F,225
16,30,34,F,225
16,25,29,M,225
16,50,54,M,225
16,35,39,F,225
16,55,59,M,225
16,40,44,M,225
16,50,54,M,225
16,40,44,M,225
16,35,39,F,225
16,25,29,F,225
16,35,39,M,225
16,40,44,M,225
16,50,54,M,225
16,40,44,F,225
16,50,54,F,225
16,18,24,M,225
16,40,44,F,225
16,45,49,M,225
16,40,44,F,225
16,40,44,M,225
16,45,49,F,225
16,55,59,F,225
16,40,44,M,225
16,25,29,M,225
16,50,54,M,225
16,30,34,M,226
16,45,49,M,226
16,18,24,F,226
16,35,39,M,226
16,35,39,M,226
16,40,44,M,226
16,40,44,M,226
16,55,59,M,226
16,45,49,M,226
16,40,44,M,226
16,35,39,M,226
16,25,29,M,226
16,40,44,M,226
16,50,54,M,226
16,45,49,M,226
16,25,29,F,226
16,35,39,M,226
16,50,54,M,226
16,45,49,M,226
16,40,44,F,227
16,40,44,F,227
16,45,49,M,227
16,40,44,F,227
16,18,24,M,227
16,35,39,F,227
16,30,34,F,227
16,35,39,M,227
16,35,39,M,227
16,35,39,M,227
16,30,34,F,227
16,45,49,M,227
16,30,34,F,227
16,25,29,M,227
16,18,24,M,227
16,35,39,F,227
16,40,44,M,227
16,40,44,F,227
16,50,54,M,227
16,40,44,M,227
16,55,59,M,227
16,60,64,M,227
16,18,24,M,227
16,18,24,M,227
16,50,54,M,227
16,30,34,F,227
16,25,29,F,227
16,35,39,M,227
16,30,34,M,227
16,50,54,M,227
16,30,34,F,227
16,45,49,M,227
16,25,29,F,227
16,35,39,M,228
16,30,34,M,228
16,35,39,F,228
16,30,34,M,228
16,45,49,F,228
16,30,34,M,228
16,45,49,M,228
16,30,34,F,228
16,40,44,F,228
16,60,64,M,228
16,40,44,M,228
16,30,34,M,228
16,45,49,M,228
16,35,39,M,228
16,30,34,M,228
16,40,44,M,228
16,25,29,M,228
16,35,39,M,228
16,50,54,M,228
16,45,49,M,228
16,30,34,F,228
16,30,34,M,228
16,35,39,M,228
16,25,29,F,228
16,40,44,M,228
16,35,39,F,228
16,45,49,M,228
16,40,44,M,228
16,40,44,F,228
16,35,39,M,228
16,30,34,F,229
16,35,39,F,229
16,45,49,M,229
16,40,44,M,229
16,50,54,F,229
16,25,29,F,229
16,50,54,M,229
16,60,64,M,229
16,50,54,M,229
16,25,29,F,229
16,45,49,F,229
16,40,44,M,229
16,35,39,F,229
16,45,49,F,229
16,25,29,F,229
16,50,54,M,229
16,40,44,M,229
16,35,39,M,229
16,35,39,M,229
16,40,44,M,229
16,40,44,M,229
16,60,64,M,229
16,45,49,M,229
